  Time                 , V(y1)                , V(y2)                
  9.985803636343e-02  ,2.184641251826e-02  ,1.696575226826e-01  
  9.985853637487e-02  ,2.252322237105e-01  ,1.667647815771e-01  
  9.985903638631e-02  ,3.843444221592e-01  ,1.685130220096e-01  
  9.985953639776e-02  ,4.723748241732e-01  ,1.979891339532e-01  
  9.986003640920e-02  ,4.999123468005e-01  ,2.402228936111e-01  
  9.986053642065e-02  ,4.566067556822e-01  ,2.566433188342e-01  
  9.986103643209e-02  ,3.492080746630e-01  ,2.549302259798e-01  
  9.986153644353e-02  ,1.975498584631e-01  ,2.504415863966e-01  
  9.986203645498e-02  ,1.313513107733e-02  ,2.459256680659e-01  
  9.986253646642e-02  ,-1.936008435460e-01  ,2.414837510398e-01  
  9.986303647787e-02  ,-4.132985889586e-01  ,2.371187468429e-01  
  9.986353648931e-02  ,-6.383331656474e-01  ,2.328317202671e-01  
  9.986403650075e-02  ,-8.603356085205e-01  ,2.286235090101e-01  
  9.986453651220e-02  ,-1.068482146346e+00  ,2.244961574209e-01  
  9.986503652364e-02  ,-1.247560123012e+00  ,2.204532726473e-01  
  9.986553653509e-02  ,-1.369209145762e+00  ,2.165020392655e-01  
  9.986603654653e-02  ,-1.417926067972e+00  ,2.126453311447e-01  
  9.986653655798e-02  ,-1.395671925127e+00  ,2.088806192585e-01  
  9.986703656942e-02  ,-1.311997296134e+00  ,2.052031948994e-01  
  9.986753658086e-02  ,-1.177569136903e+00  ,2.016083266037e-01  
  9.986803659231e-02  ,-1.003819195693e+00  ,1.980912023963e-01  
  9.986853660375e-02  ,-8.024943402965e-01  ,1.946471010373e-01  
  9.986903661520e-02  ,-5.840991905073e-01  ,1.912717979264e-01  
  9.986953662664e-02  ,-3.568643903612e-01  ,1.879619396496e-01  
  9.987003663808e-02  ,-1.272022387086e-01  ,1.847150080575e-01  
  9.987053664953e-02  ,9.773229051340e-02  ,1.815291149321e-01  
  9.987103666097e-02  ,3.045826609554e-01  ,1.786662062603e-01  
  9.987153667242e-02  ,4.633302397944e-01  ,1.974382736402e-01  
  9.987203668386e-02  ,5.581137264965e-01  ,2.643094335430e-01  
  9.987253669530e-02  ,5.967653989126e-01  ,3.303279565497e-01  
  9.987303670675e-02  ,5.545341114491e-01  ,3.496666887460e-01  
  9.987353671819e-02  ,4.500344840843e-01  ,3.520216227863e-01  
  9.987403672964e-02  ,2.985968326003e-01  ,3.458276770257e-01  
  9.987453674108e-02  ,1.156489348514e-01  ,3.396247677071e-01  
  9.987503675253e-02  ,-8.959991443790e-02  ,3.335254748980e-01  
  9.987553676397e-02  ,-3.078029517234e-01  ,3.275323679879e-01  
  9.987603677541e-02  ,-5.313315510505e-01  ,3.216460167031e-01  
  9.987653678686e-02  ,-7.525906586554e-01  ,3.158667149121e-01  
  9.987703679830e-02  ,-9.579905482418e-01  ,3.101965286489e-01  
  9.987753680975e-02  ,-1.132803871516e+00  ,3.046386221142e-01  
  9.987803682119e-02  ,-1.249941220112e+00  ,2.991992493324e-01  
  9.987853683263e-02  ,-1.294868257109e+00  ,2.938802104801e-01  
  9.987903684408e-02  ,-1.270091287339e+00  ,2.886790390232e-01  
  9.987953685552e-02  ,-1.183997702686e+00  ,2.835906233994e-01  
  9.988003686697e-02  ,-1.047583375041e+00  ,2.786096844940e-01  
  9.988053687841e-02  ,-8.720540694325e-01  ,2.737310637826e-01  
  9.988103688985e-02  ,-6.692285481813e-01  ,2.689496085308e-01  
  9.988153690130e-02  ,-4.495557537837e-01  ,2.642607249330e-01  
  9.988203691274e-02  ,-2.211684994602e-01  ,2.596607507870e-01  
  9.988253692419e-02  ,9.726660632881e-03  ,2.551469992746e-01  
  9.988303693563e-02  ,2.363371409243e-01  ,2.507204751107e-01  
  9.988353694707e-02  ,4.450723614796e-01  ,2.488541365250e-01  
  9.988403695852e-02  ,5.983924983177e-01  ,3.009418399868e-01  
  9.988453696996e-02  ,7.091458395225e-01  ,4.085057992560e-01  
  9.988503698141e-02  ,7.500224680066e-01  ,4.758670417361e-01  
  9.988553699285e-02  ,7.098602287397e-01  ,4.989885685802e-01  
  9.988603700430e-02  ,6.035132383471e-01  ,4.941937323620e-01  
  9.988653701574e-02  ,4.546676774530e-01  ,4.855334103827e-01  
  9.988703702718e-02  ,2.732625320228e-01  ,4.768597543526e-01  
  9.988753703863e-02  ,6.931578379995e-02  ,4.683325322458e-01  
  9.988803705007e-02  ,-1.477872236780e-01  ,4.599543609554e-01  
  9.988853706152e-02  ,-3.701896552703e-01  ,4.517251522718e-01  
  9.988903707296e-02  ,-5.888545332049e-01  ,4.436445311664e-01  
  9.988953708440e-02  ,-7.949034719227e-01  ,4.357133700004e-01  
  9.989003709585e-02  ,-9.667813664994e-01  ,4.279354402276e-01  
  9.989053710729e-02  ,-1.080738715410e+00  ,4.203154159957e-01  
  9.989103711874e-02  ,-1.123476708582e+00  ,4.128544374042e-01  
  9.989153713018e-02  ,-1.096753483545e+00  ,4.055488881271e-01  
  9.989203714162e-02  ,-1.009423671450e+00  ,3.983931971815e-01  
  9.989253715307e-02  ,-8.717834092656e-01  ,3.913816753384e-01  
  9.989303716451e-02  ,-6.952484590463e-01  ,3.845084750999e-01  
  9.989353717596e-02  ,-4.915694885966e-01  ,3.777678574105e-01  
  9.989403718740e-02  ,-2.711965772790e-01  ,3.711546585656e-01  
  9.989453719884e-02  ,-4.219028675904e-02  ,3.646647360277e-01  
  9.989503721029e-02  ,1.893496393168e-01  ,3.582951099326e-01  
  9.989553722173e-02  ,4.168114507946e-01  ,3.520819454059e-01  
  9.989603723318e-02  ,6.218962338852e-01  ,3.633036346194e-01  
  9.989653724462e-02  ,7.740944730318e-01  ,4.595448555527e-01  
  9.989703725607e-02  ,9.000272123470e-01  ,5.979703290897e-01  
  9.989753726751e-02  ,9.415169283882e-01  ,6.702505168144e-01  
  9.989803727895e-02  ,9.014630979769e-01  ,6.912685329091e-01  
  9.989853729040e-02  ,7.935284854922e-01  ,6.829944279121e-01  
  9.989903730184e-02  ,6.440624328234e-01  ,6.709999867369e-01  
  9.989953731329e-02  ,4.631367201951e-01  ,6.590453380866e-01  
  9.990003732473e-02  ,2.594957121381e-01  ,6.472947479838e-01  
  9.990053733617e-02  ,4.278718133776e-02  ,6.357502009462e-01  
  9.990103734762e-02  ,-1.792644229433e-01  ,6.244105776717e-01  
  9.990153735906e-02  ,-3.987349483089e-01  ,6.132745718425e-01  
  9.990203737051e-02  ,-6.037965462734e-01  ,6.023422787549e-01  
  9.990253738195e-02  ,-7.714225104324e-01  ,5.916168218546e-01  
  9.990303739339e-02  ,-8.861621715586e-01  ,5.811003250841e-01  
  9.990353740484e-02  ,-9.292873325146e-01  ,5.707943382182e-01  
  9.990403741628e-02  ,-9.023063041290e-01  ,5.606943963018e-01  
  9.990453742773e-02  ,-8.147653856252e-01  ,5.507938189656e-01  
  9.990503743917e-02  ,-6.783129337889e-01  ,5.410850206505e-01  
  9.990553745061e-02  ,-5.009997693652e-01  ,5.315636179627e-01  
  9.990603746206e-02  ,-2.968960207644e-01  ,5.222217044725e-01  
  9.990653747350e-02  ,-7.638931998834e-02  ,5.130533325756e-01  
  9.990703748495e-02  ,1.527069016285e-01  ,5.040537496571e-01  
  9.990753749639e-02  ,3.842814812833e-01  ,4.952195504873e-01  
  9.990803750784e-02  ,6.116717218764e-01  ,4.868064110733e-01  
  9.990853751928e-02  ,8.085157053523e-01  ,5.202242643266e-01  
  9.990903753072e-02  ,9.683395830422e-01  ,6.490349952595e-01  
  9.990953754217e-02  ,1.097713836693e+00  ,7.954450544480e-01  
  9.991000221998e-02  ,1.137253456727e+00  ,8.640258304632e-01  
  9.991050223142e-02  ,1.100526853547e+00  ,8.848656887299e-01  
  9.991100224287e-02  ,9.957027268905e-01  ,8.739609570824e-01  
  9.991150225431e-02  ,8.486109865696e-01  ,8.586600025786e-01  
  9.991200226575e-02  ,6.692855468888e-01  ,8.433868956889e-01  
  9.991250227720e-02  ,4.665671256637e-01  ,8.283747745988e-01  
  9.991300228864e-02  ,2.501648523343e-01  ,8.136261355677e-01  
  9.991350230009e-02  ,2.787209638979e-02  ,7.991389104017e-01  
  9.991400231153e-02  ,-1.925739294604e-01  ,7.849107553704e-01  
  9.991450232298e-02  ,-3.999180231646e-01  ,7.709406040482e-01  
  9.991500233442e-02  ,-5.748283761113e-01  ,7.572300003916e-01  
  9.991550234586e-02  ,-6.936486286651e-01  ,7.437817780476e-01  
  9.991600235731e-02  ,-7.418907782776e-01  ,7.305956148960e-01  
  9.991650236875e-02  ,-7.212416739610e-01  ,7.176653518864e-01  
  9.991700238020e-02  ,-6.379096038713e-01  ,7.049860426908e-01  
  9.991750239164e-02  ,-5.038280009263e-01  ,6.925489250562e-01  
  9.991800240308e-02  ,-3.302854503615e-01  ,6.803464642934e-01  
  9.991850241453e-02  ,-1.287451522216e-01  ,6.683713822748e-01  
  9.991900242597e-02  ,9.016970309702e-02  ,6.566168758736e-01  
  9.991950243742e-02  ,3.182239066272e-01  ,6.450772782686e-01  
  9.992000244886e-02  ,5.491329184972e-01  ,6.337486653352e-01  
  9.992050246030e-02  ,7.760383545459e-01  ,6.232542679581e-01  
  9.992100247175e-02  ,9.682757793142e-01  ,6.692624221834e-01  
  9.992150248319e-02  ,1.134971537397e+00  ,8.140518906154e-01  
  9.992200249464e-02  ,1.267527948658e+00  ,9.638754618474e-01  
  9.992250250608e-02  ,1.308948366575e+00  ,1.036803397146e+00  
  9.992300251752e-02  ,1.266251786138e+00  ,1.049240649089e+00  
  9.992350252897e-02  ,1.162920804362e+00  ,1.035671451317e+00  
  9.992400254041e-02  ,1.015672492538e+00  ,1.017554975929e+00  
  9.992450255186e-02  ,8.352073752737e-01  ,9.994710302683e-01  
  9.992500256330e-02  ,6.314871836257e-01  ,9.816967971431e-01  
  9.992550257475e-02  ,4.140645473119e-01  ,9.642348977755e-01  
  9.992600258619e-02  ,1.907212988862e-01  ,9.470824041463e-01  
  9.992650259763e-02  ,-3.103078503089e-02  ,9.302360507808e-01  
  9.992700260908e-02  ,-2.402567845314e-01  ,9.136938357407e-01  
  9.992750262052e-02  ,-4.177750578148e-01  ,8.974564534838e-01  
  9.992800263197e-02  ,-5.370743044325e-01  ,8.815260148583e-01  
  9.992850264341e-02  ,-5.896895573013e-01  ,8.659011712042e-01  
  9.992900265485e-02  ,-5.709257701372e-01  ,8.505770088199e-01  
  9.992950266630e-02  ,-4.900910521622e-01  ,8.355452267437e-01  
  9.993000267774e-02  ,-3.580494484676e-01  ,8.207974464687e-01  
  9.993050268919e-02  ,-1.860891048626e-01  ,8.063254131642e-01  
  9.993100270063e-02  ,1.403272296212e-02  ,7.921210301421e-01  
  9.993150271207e-02  ,2.317326829601e-01  ,7.781768232902e-01  
  9.993200272352e-02  ,4.586571897044e-01  ,7.644864394134e-01  
  9.993250273496e-02  ,6.883427046223e-01  ,7.510456645860e-01  
  9.993300274641e-02  ,9.133387027570e-01  ,7.390879507933e-01  
  9.993350275785e-02  ,1.099641671671e+00  ,7.942801568149e-01  
  9.993400276930e-02  ,1.267711579416e+00  ,9.469895423146e-01  
  9.993450278074e-02  ,1.395611652505e+00  ,1.092697923544e+00  
  9.993500279218e-02  ,1.432433134510e+00  ,1.161303540588e+00  
  9.993549746305e-02  ,1.387649157817e+00  ,1.170659353180e+00  
  9.993599747450e-02  ,1.282659034507e+00  ,1.154942362361e+00  
  9.993649748594e-02  ,1.133810707027e+00  ,1.134719356301e+00  
  9.993699749738e-02  ,9.517406107504e-01  ,1.114561969253e+00  
